Title,Current_Price,Original_Price,Exchange_Price,Ratings,Review_count,url
"Hafele 6 kg Hygiene Wash, 15 Min Wash, Smart Motor Technology Fully Automatic Front Load with In-built...","$19,990","$34,990","$4,200",4.1,1 Reviews,https://www.flipkart.com//hafele-6-kg-hygiene-wash-15-min-smart-motor-technology-fully-automatic-front-load-in-built-heater-white/p/itmc858b3ce579c8?pid=WMNFUJERYMSRNZ6M&lid=LSTWMNFUJERYMSRNZ6MCVIKSU&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_EGmSvLXCegr7Y%2Bekqm8VqfrJmyUOUw0rMaZVlshimIUzJPBTq6iMXCYa6mAmAUwckgjaMNcss3ji3kpfXCl3ZA%3D%3D&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
Galanz 7 kg Quick Wash Fully Automatic Front Load with In-built Heater Silver,"$23,990","$31,490","$4,700",4,44 Reviews,https://www.flipkart.com//galanz-7-kg-quick-wash-fully-automatic-front-load-in-built-heater-silver/p/itm7498bbff2e5a4?pid=WMNFQUYGFTVPVRKY&lid=LSTWMNFQUYGFTVPVRKYAXCPNA&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_EGmSvLXCegr7Y%2Bekqm8VqfrJmyUOUw0rMaZVlshimIUurrVc4F3A2Z9rAYMlEGo3yLRDOvHFuDpssSf5i8FKXg%3D%3D&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
Samsung 7 kg Monsoon drying feature Fully Automatic Top Load Silver,"$17,490","$19,800","$3,000",4.4,"6,643 Reviews",https://www.flipkart.com//samsung-7-kg-monsoon-drying-feature-fully-automatic-top-load-silver/p/itmf80590ddbd239?pid=WMNFV6ZYYAEZX6HM&lid=LSTWMNFV6ZYYAEZX6HMNJZL4B&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFV6ZYYAEZX6HM.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
"Whirlpool 6.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","$14,240","$17,400","$2,200",4.3,"1,287 Reviews",https://www.flipkart.com//whirlpool-6-5-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itm46327d5ac84e6?pid=WMNFNAYPSMHK9RHF&lid=LSTWMNFNAYPSMHK9RHFJEYN4I&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFNAYPSMHK9RHF.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
LG 6.5 kg Fully Automatic Top Load Silver,"$15,490","$18,990","$2,200",4.3,967 Reviews,https://www.flipkart.com//lg-6-5-kg-fully-automatic-top-load-silver/p/itm101c7536e2610?pid=WMNFV6NVJHTMFMHT&lid=LSTWMNFV6NVJHTMFMHTP9FNJL&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFV6NVJHTMFMHT.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
IFB 6.5 kg 5 Star Fully Automatic Front Load with In-built Heater Silver,"$30,290","$34,490","$4,200",4.3,128 Reviews,https://www.flipkart.com//ifb-6-5-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmc3197cef82f9d?pid=WMNFGU8VPXNRCU6H&lid=LSTWMNFGU8VPXNRCU6HTJZRKS&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFGU8VPXNRCU6H.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
Bosch 8 kg 5 Star Fully Automatic Front Load with In-built Heater White,"$33,990","$41,199","$3,700",4.4,897 Reviews,https://www.flipkart.com//bosch-8-kg-5-star-fully-automatic-front-load-in-built-heater-white/p/itm908d525057ccf?pid=WMNFVYNAUB45DJ8V&lid=LSTWMNFVYNAUB45DJ8VQSQYDV&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFVYNAUB45DJ8V.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
"MarQ by Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load White, Blue","$7,390","$10,490","$2,200",4.3,"4,455 Reviews",https://www.flipkart.com//marq-flipkart-6-5-kg-5-star-rating-semi-automatic-top-load-white-blue/p/itmd63190f1e2937?pid=WMNFMKPKXZUCHMZS&lid=LSTWMNFMKPKXZUCHMZSMDA7XJ&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFMKPKXZUCHMZS.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
"MarQ by Flipkart 8.5 kg 5 Star Rating Semi Automatic Top Load White, Blue","$9,490","$14,150","$2,200",4.3,616 Reviews,https://www.flipkart.com//marq-flipkart-8-5-kg-5-star-rating-semi-automatic-top-load-white-blue/p/itm8a2e9b05d7667?pid=WMNFMKPKGAHKJY2C&lid=LSTWMNFMKPKGAHKJY2CFQR0XX&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFMKPKGAHKJY2C.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","$15,490","$18,000","$2,200",4.3,"1,287 Reviews",https://www.flipkart.com//whirlpool-7-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itm451486acdb00f?pid=WMNFNAYPAYSZGKXV&lid=LSTWMNFNAYPAYSZGKXVWLFKYB&marketplace=FLIPKART&spotlightTagId=TrendingId_j9e%2Fabm%2F8qx&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=e2e06f90-d501-4a16-9bed-85ffd027e12f.WMNFNAYPAYSZGKXV.SEARCH&ssid=4gcjucwqc00000001610689300318&qH=b3522a5e7056c9c0
